Variable name,Time in Play,Data Point
0 ,0:3.87,2560
1 ,0:3.87,2560
2 ,0:3.87,2560
3 ,0:3.87,2560
4 ,0:3.87,2560
set ,0:3.87,2560
5 ,0:3.87,2560
6 ,0:3.87,2560
set ,0:6.94,2560
0 ,0:9.09,640
1 ,0:9.09,640
2 ,0:9.09,640
3 ,0:9.09,640
4 ,0:9.09,640
set ,0:9.09,640
5 ,0:9.09,640
6 ,0:9.09,640
set ,0:10.43,640
0 ,0:12.05,640
1 ,0:12.05,640
2 ,0:12.05,640
3 ,0:12.05,640
4 ,0:12.05,640
set ,0:12.05,640
5 ,0:12.05,640
6 ,0:12.05,640
set ,0:15.40,640
0 ,0:17.30,800
1 ,0:17.30,800
2 ,0:17.30,800
3 ,0:17.30,800
4 ,0:17.30,800
set ,0:17.30,800
5 ,0:17.30,800
6 ,0:17.30,800
systemRoomClicked,0:3.67,(303.0, 326.0, 0.0)
0 ,0:3.82,800
1 ,0:3.82,800
2 ,0:3.82,800
3 ,0:3.82,800
4 ,0:3.82,800
set ,0:3.82,800
5 ,0:3.82,800
6 ,0:3.82,800
set ,0:5.76,800
systemRoomClicked,0:8.26,(25.0, 152.0, 0.0)
systemRoomClicked,0:12.60,(321.0, 277.0, 0.0)
0 ,0:12.68,640
1 ,0:12.68,640
2 ,0:12.68,640
3 ,0:12.68,640
4 ,0:12.68,640
set ,0:12.68,640
5 ,0:12.68,640
6 ,0:12.68,640
