Variable name,Time in Play,Data Point
fRoomClicked,0:2.71,(1170.0, 541.0, 0.0)
fRoomClicked,0:2.89,(1280.0, 444.0, 0.0)
waitingFishWaitTime,0:3.01,5.041586
waitingClickedPosition0,0:8.36,(-0.1, -0.1, 0.0)
waitingClickedVelocity0,0:8.36,(1.7, 1.2)
waitingClickedPosition1,0:8.36,(-1.8, -1.0, 0.0)
waitingClickedVelocity1,0:8.36,(-0.4, -0.2)
waitingClickedPosition2,0:8.36,(-1.7, 0.5, 0.0)
waitingClickedVelocity2,0:8.36,(-0.4, 0.2)
waitingClickedPosition3,0:8.36,(-2.2, 1.2, 0.0)
waitingClickedVelocity3,0:8.36,(-0.4, -0.3)
waitingClickedPosition4,0:8.36,(-1.6, 0.5, 0.0)
waitingClickedVelocity4,0:8.36,(1.0, -0.3)
ProcessBarValue,0:8.41,1.01668
ProcessBarValue,0:8.51,1.116749
ProcessBarValue,0:8.61,1.216833
ProcessBarValue,0:8.71,1.316926
ProcessBarValue,0:8.81,1.341907
ProcessBarValue,0:8.91,1.291892
ProcessBarValue,0:9.01,1.241852
ProcessBarValue,0:9.11,1.191795
ProcessBarValue,0:9.21,1.14176
ProcessBarValue,0:9.31,1.091717
ProcessBarValue,0:9.41,1.041662
ProcessBarValue,0:9.51,0.9916328
ProcessBarValue,0:9.61,0.9415977
ProcessBarValue,0:9.71,0.8915567
ProcessBarValue,0:9.81,0.8414999
ProcessBarValue,0:9.91,0.791468
ProcessBarValue,0:10.01,0.7414219
ProcessBarValue,0:10.11,0.691377
ProcessBarValue,0:10.21,0.6413398
ProcessBarValue,0:10.31,0.6162995
ProcessBarValue,0:10.41,0.7163898
ProcessBarValue,0:10.51,0.7164554
ProcessBarValue,0:10.61,0.6664141
ProcessBarValue,0:10.71,0.6163639
ProcessBarValue,0:10.81,0.5663089
ProcessBarValue,0:10.91,0.516275
ProcessBarValue,0:11.01,0.4662387
ProcessBarValue,0:11.11,0.4411678
ProcessBarValue,0:11.21,0.5411971
ProcessBarValue,0:11.31,0.6412827
ProcessBarValue,0:11.41,0.7413687
ProcessBarValue,0:11.51,0.7914134
ProcessBarValue,0:11.61,0.7413684
ProcessBarValue,0:11.71,0.691339
ProcessBarValue,0:11.81,0.6412928
ProcessBarValue,0:11.91,0.6913136
ProcessBarValue,0:12.01,0.7913982
ProcessBarValue,0:12.11,0.8914663
ProcessBarValue,0:12.21,0.9915633
ProcessBarValue,0:12.31,1.091646
ProcessBarValue,0:12.41,1.191736
ProcessBarValue,0:12.51,1.291821
ProcessBarValue,0:12.61,1.391912
ProcessBarValue,0:12.71,1.491991
ProcessBarValue,0:12.81,1.592076
ProcessBarValue,0:12.91,1.592079
ProcessBarValue,0:13.01,1.542038
ProcessBarValue,0:13.11,1.492
ProcessBarValue,0:13.21,1.441953
ProcessBarValue,0:13.31,1.391903
ProcessBarValue,0:13.41,1.34186
ProcessBarValue,0:13.51,1.291839
ProcessBarValue,0:13.61,1.241789
ProcessBarValue,0:13.71,1.266806
ProcessBarValue,0:13.82,1.366873
ProcessBarValue,0:13.92,1.466957
ProcessBarValue,0:14.02,1.567063
ProcessBarValue,0:14.12,1.66709
ProcessBarValue,0:14.22,1.767217
ProcessBarValue,0:14.32,1.867311
ProcessBarValue,0:14.42,1.967382
ProcessBarValue,0:14.52,2.067463
ProcessBarValue,0:14.62,2.167576
ProcessBarValue,0:14.72,2.267637
ProcessBarValue,0:14.82,2.367755
ProcessBarValue,0:14.92,2.467803
ProcessBarValue,0:15.02,2.567872
ProcessBarValue,0:15.12,2.617994
ProcessBarValue,0:15.22,2.567973
ProcessBarValue,0:15.32,2.517916
ProcessBarValue,0:15.42,2.467891
ProcessBarValue,0:15.53,2.409569
ProcessBarValue,0:15.65,2.351247
ProcessBarValue,0:15.77,2.417901
ProcessBarValue,0:15.88,2.534546
ProcessBarValue,0:16.00,2.651191
ProcessBarValue,0:16.12,2.767835
ProcessBarValue,0:16.23,2.88448
ProcessBarValue,0:16.35,3.001125
ProcessBarValue,0:16.47,3.11777
ProcessBarValue,0:16.58,3.234415
ProcessBarValue,0:16.70,3.35106
ProcessBarValue,0:16.82,3.467705
ProcessBarValue,0:16.93,3.509363
ProcessBarValue,0:17.05,3.451041
ProcessBarValue,0:17.17,3.392719
ProcessBarValue,0:17.28,3.334396
ProcessBarValue,0:17.40,3.276074
ProcessBarValue,0:17.52,3.217751
ProcessBarValue,0:17.63,3.159429
ProcessBarValue,0:17.75,3.101106
ProcessBarValue,0:17.87,3.042784
ProcessBarValue,0:17.98,3.009457
ProcessBarValue,0:18.10,3.126102
ProcessBarValue,0:18.22,3.242747
ProcessBarValue,0:18.33,3.359391
ProcessBarValue,0:18.45,3.476036
ProcessBarValue,0:18.57,3.592681
ProcessBarValue,0:18.68,3.709326
ProcessBarValue,0:18.80,3.675999
ProcessBarValue,0:18.92,3.617676
ProcessBarValue,0:19.03,3.559354
ProcessBarValue,0:19.15,3.501032
ProcessBarValue,0:19.27,3.617676
ProcessBarValue,0:19.38,3.63434
ProcessBarValue,0:19.50,3.576018
ProcessBarValue,0:19.62,3.517695
ProcessBarValue,0:19.73,3.584349
ProcessBarValue,0:19.85,3.700994
ProcessBarValue,0:19.97,3.817639
ProcessBarValue,0:20.08,3.934284
ProcessBarValue,0:20.20,4.050929
ProcessBarValue,0:20.32,4.167574
ProcessBarValue,0:20.43,4.284219
ProcessBarValue,0:20.55,4.275887
ProcessBarValue,0:20.67,4.217565
ProcessBarValue,0:20.78,4.159242
ProcessBarValue,0:20.90,4.10092
ProcessBarValue,0:21.02,4.192569
ProcessBarValue,0:21.13,4.209233
ProcessBarValue,0:21.25,4.200901
ProcessBarValue,0:21.37,4.317546
ProcessBarValue,0:21.48,4.434191
ProcessBarValue,0:21.60,4.550836
ProcessBarValue,0:21.72,4.66748
ProcessBarValue,0:21.83,4.784125
ProcessBarValue,0:21.95,4.90077
fRoomClicked,0:23.12,(216.0, 282.0, 0.0)
systemRoomClicked,0:25.09,(1215.0, 778.0, 0.0)
